gen,clust,net,n_nodes,n_edges,seed,stat,dt,value
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,cluster_deg_assort,emd,0.01594026637576602
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,cluster_deg_assort,mean_l1,0.05836568732439108
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,cluster_deg_assort,rmse,0.08804500371298413
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,cluster_global_ccoeff,emd,0.0018887121817714625
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,cluster_global_ccoeff,mean_l1,0.0026506461024275473
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,cluster_global_ccoeff,rmse,0.00805777636661754
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,cluster_local_ccoeff,emd,0.00322728787550328
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,cluster_local_ccoeff,mean_l1,0.007225055116332699
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,cluster_local_ccoeff,rmse,0.012263873048036288
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,cluster_mean_degree,emd,0.011241358705707354
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,cluster_mean_degree,mean_l1,0.011241358705707359
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,cluster_mean_degree,rmse,0.02103106355601216
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,cluster_mean_kcore,emd,0.01874671304397285
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,cluster_mean_kcore,mean_l1,0.019578909797919784
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,cluster_mean_kcore,rmse,0.028095614335620703
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,cluster_n_concomp,emd,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,cluster_n_concomp,mean_l1,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,cluster_n_concomp,rmse,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,cluster_frac_giant_ccomp,emd,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,cluster_frac_giant_ccomp,mean_l1,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,cluster_frac_giant_ccomp,rmse,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,cluster_pseudo_diameter,emd,3.7256097560975605
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,cluster_pseudo_diameter,mean_l1,3.725609756097561
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,cluster_pseudo_diameter,rmse,4.25483942547605
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,2,cluster_deg_assort,emd,0.015601342121286464
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,2,cluster_deg_assort,mean_l1,0.05774899374961768
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,2,cluster_deg_assort,rmse,0.08783374609466384
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,2,cluster_global_ccoeff,emd,0.0018551197883504697
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,2,cluster_global_ccoeff,mean_l1,0.002654717450095324
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,2,cluster_global_ccoeff,rmse,0.008000536924687877
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,2,cluster_local_ccoeff,emd,0.0031883025534146453
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,2,cluster_local_ccoeff,mean_l1,0.006974234102518622
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,2,cluster_local_ccoeff,rmse,0.011572884573343116
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,2,cluster_mean_degree,emd,0.011453176535361077
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,2,cluster_mean_degree,mean_l1,0.01145317653536108
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,2,cluster_mean_degree,rmse,0.020862796499915928
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,2,cluster_mean_kcore,emd,0.01937250759244052
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,2,cluster_mean_kcore,mean_l1,0.02024247662330253
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,2,cluster_mean_kcore,rmse,0.029047441085142702
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,2,cluster_n_concomp,emd,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,2,cluster_n_concomp,mean_l1,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,2,cluster_n_concomp,rmse,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,2,cluster_frac_giant_ccomp,emd,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,2,cluster_frac_giant_ccomp,mean_l1,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,2,cluster_frac_giant_ccomp,rmse,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,2,cluster_pseudo_diameter,emd,3.7500000000000004
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,2,cluster_pseudo_diameter,mean_l1,3.75
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,2,cluster_pseudo_diameter,rmse,4.273428965356885
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,3,cluster_deg_assort,emd,0.016329439353304057
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,3,cluster_deg_assort,mean_l1,0.05833602223719731
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,3,cluster_deg_assort,rmse,0.08792324898706953
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,3,cluster_global_ccoeff,emd,0.0018215210740481498
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,3,cluster_global_ccoeff,mean_l1,0.00261530028305407
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,3,cluster_global_ccoeff,rmse,0.007702251457226382
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,3,cluster_local_ccoeff,emd,0.002937210253162836
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,3,cluster_local_ccoeff,mean_l1,0.007281751432791926
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,3,cluster_local_ccoeff,rmse,0.011465311007992876
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,3,cluster_mean_degree,emd,0.011014669046779639
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,3,cluster_mean_degree,mean_l1,0.01101466904677964
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,3,cluster_mean_degree,rmse,0.0193311502111709
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,3,cluster_mean_kcore,emd,0.01905759058005666
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,3,cluster_mean_kcore,mean_l1,0.020355296136884686
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,3,cluster_mean_kcore,rmse,0.028730735843752114
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,3,cluster_n_concomp,emd,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,3,cluster_n_concomp,mean_l1,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,3,cluster_n_concomp,rmse,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,3,cluster_frac_giant_ccomp,emd,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,3,cluster_frac_giant_ccomp,mean_l1,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,3,cluster_frac_giant_ccomp,rmse,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,3,cluster_pseudo_diameter,emd,3.762195121951219
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,3,cluster_pseudo_diameter,mean_l1,3.7621951219512195
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,3,cluster_pseudo_diameter,rmse,4.28008243975007
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,4,cluster_deg_assort,emd,0.016296287170546448
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,4,cluster_deg_assort,mean_l1,0.05853869240139834
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,4,cluster_deg_assort,rmse,0.08839521526720985
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,4,cluster_global_ccoeff,emd,0.0018505266210532378
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,4,cluster_global_ccoeff,mean_l1,0.0026235887711418683
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,4,cluster_global_ccoeff,rmse,0.007903664377336658
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,4,cluster_local_ccoeff,emd,0.002997687745431142
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,4,cluster_local_ccoeff,mean_l1,0.007203227369429915
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,4,cluster_local_ccoeff,rmse,0.011675319984174792
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,4,cluster_mean_degree,emd,0.011728771561705842
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,4,cluster_mean_degree,mean_l1,0.011728771561705846
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,4,cluster_mean_degree,rmse,0.021849598205125012
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,4,cluster_mean_kcore,emd,0.019302910919443982
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,4,cluster_mean_kcore,mean_l1,0.020139322423860788
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,4,cluster_mean_kcore,rmse,0.028832790758944696
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,4,cluster_n_concomp,emd,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,4,cluster_n_concomp,mean_l1,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,4,cluster_n_concomp,rmse,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,4,cluster_frac_giant_ccomp,emd,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,4,cluster_frac_giant_ccomp,mean_l1,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,4,cluster_frac_giant_ccomp,rmse,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,4,cluster_pseudo_diameter,emd,3.7642276422764227
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,4,cluster_pseudo_diameter,mean_l1,3.7642276422764227
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,4,cluster_pseudo_diameter,rmse,4.2750933047394
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,5,cluster_deg_assort,emd,0.016221965332679295
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,5,cluster_deg_assort,mean_l1,0.05913851058056794
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,5,cluster_deg_assort,rmse,0.08878096279376135
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,5,cluster_global_ccoeff,emd,0.0018609344523817398
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,5,cluster_global_ccoeff,mean_l1,0.00262670885068521
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,5,cluster_global_ccoeff,rmse,0.007767742114436275
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,5,cluster_local_ccoeff,emd,0.003000075320297819
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,5,cluster_local_ccoeff,mean_l1,0.006848482251650867
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,5,cluster_local_ccoeff,rmse,0.011504846828855938
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,5,cluster_mean_degree,emd,0.011049835043956362
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,5,cluster_mean_degree,mean_l1,0.011049835043956364
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,5,cluster_mean_degree,rmse,0.019722455171102448
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,5,cluster_mean_kcore,emd,0.018920127609533044
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,5,cluster_mean_kcore,mean_l1,0.019669254180433193
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,5,cluster_mean_kcore,rmse,0.0282594503530561
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,5,cluster_n_concomp,emd,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,5,cluster_n_concomp,mean_l1,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,5,cluster_n_concomp,rmse,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,5,cluster_frac_giant_ccomp,emd,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,5,cluster_frac_giant_ccomp,mean_l1,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,5,cluster_frac_giant_ccomp,rmse,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,5,cluster_pseudo_diameter,emd,3.7723577235772363
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,5,cluster_pseudo_diameter,mean_l1,3.772357723577236
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,5,cluster_pseudo_diameter,rmse,4.2931217440160125
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,1,cluster_deg_assort,emd,0.01858881932264053
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,1,cluster_deg_assort,mean_l1,0.06004125572015202
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,1,cluster_deg_assort,rmse,0.08959756011760359
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,1,cluster_global_ccoeff,emd,0.0011738249579416674
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,1,cluster_global_ccoeff,mean_l1,0.0023536326106596613
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,1,cluster_global_ccoeff,rmse,0.0066882306818182935
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,1,cluster_local_ccoeff,emd,0.002434740807227646
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,1,cluster_local_ccoeff,mean_l1,0.006456000969498971
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,1,cluster_local_ccoeff,rmse,0.0104884190092702
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,1,cluster_mean_degree,emd,0.0029483231508620283
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,1,cluster_mean_degree,mean_l1,0.0029483231508620317
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,1,cluster_mean_degree,rmse,0.005650121982281614
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,1,cluster_mean_kcore,emd,0.01550115098782331
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,1,cluster_mean_kcore,mean_l1,0.017449782668513956
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,1,cluster_mean_kcore,rmse,0.02597653184718314
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,1,cluster_n_concomp,emd,0.0
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,1,cluster_n_concomp,mean_l1,0.0
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,1,cluster_n_concomp,rmse,0.0
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,1,cluster_frac_giant_ccomp,emd,0.0
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,1,cluster_frac_giant_ccomp,mean_l1,0.0
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,1,cluster_frac_giant_ccomp,rmse,0.0
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,1,cluster_pseudo_diameter,emd,3.7540650406504064
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,1,cluster_pseudo_diameter,mean_l1,3.7540650406504064
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,1,cluster_pseudo_diameter,rmse,4.275331014617797
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,2,cluster_deg_assort,emd,0.017450308799788004
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,2,cluster_deg_assort,mean_l1,0.05968103099203298
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,2,cluster_deg_assort,rmse,0.0893228862689456
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,2,cluster_global_ccoeff,emd,0.0011494613465550785
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,2,cluster_global_ccoeff,mean_l1,0.0024110512878551286
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,2,cluster_global_ccoeff,rmse,0.0068200508500138686
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,2,cluster_local_ccoeff,emd,0.002656849446228268
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,2,cluster_local_ccoeff,mean_l1,0.006450719571382152
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,2,cluster_local_ccoeff,rmse,0.0108691359127902
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,2,cluster_mean_degree,emd,0.0031387320356451214
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,2,cluster_mean_degree,mean_l1,0.003138732035645125
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,2,cluster_mean_degree,rmse,0.0058499921306503205
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,2,cluster_mean_kcore,emd,0.015873343470087252
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,2,cluster_mean_kcore,mean_l1,0.017477780449550975
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,2,cluster_mean_kcore,rmse,0.025971869725358948
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,2,cluster_n_concomp,emd,0.0
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,2,cluster_n_concomp,mean_l1,0.0
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,2,cluster_n_concomp,rmse,0.0
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,2,cluster_frac_giant_ccomp,emd,0.0
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,2,cluster_frac_giant_ccomp,mean_l1,0.0
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,2,cluster_frac_giant_ccomp,rmse,0.0
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,2,cluster_pseudo_diameter,emd,3.7845528455284554
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,2,cluster_pseudo_diameter,mean_l1,3.7845528455284554
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,2,cluster_pseudo_diameter,rmse,4.303997007887254
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,3,cluster_deg_assort,emd,0.018169390831631695
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,3,cluster_deg_assort,mean_l1,0.05873857426699149
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,3,cluster_deg_assort,rmse,0.08872736388581405
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,3,cluster_global_ccoeff,emd,0.0012040584432913572
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,3,cluster_global_ccoeff,mean_l1,0.002442194683379532
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,3,cluster_global_ccoeff,rmse,0.006750698851986902
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,3,cluster_local_ccoeff,emd,0.0027622156225573643
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,3,cluster_local_ccoeff,mean_l1,0.00705684783844345
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,3,cluster_local_ccoeff,rmse,0.01146735871636409
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,3,cluster_mean_degree,emd,0.0036465285247672535
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,3,cluster_mean_degree,mean_l1,0.0036465285247672544
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,3,cluster_mean_degree,rmse,0.0064877372187657255
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,3,cluster_mean_kcore,emd,0.016105619784948975
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,3,cluster_mean_kcore,mean_l1,0.01821952576985876
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,3,cluster_mean_kcore,rmse,0.026805614278463803
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,3,cluster_n_concomp,emd,0.0
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,3,cluster_n_concomp,mean_l1,0.0
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,3,cluster_n_concomp,rmse,0.0
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,3,cluster_frac_giant_ccomp,emd,0.0
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,3,cluster_frac_giant_ccomp,mean_l1,0.0
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,3,cluster_frac_giant_ccomp,rmse,0.0
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,3,cluster_pseudo_diameter,emd,3.782520325203252
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,3,cluster_pseudo_diameter,mean_l1,3.782520325203252
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,3,cluster_pseudo_diameter,rmse,4.295724855309093
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,4,cluster_deg_assort,emd,0.018634156950043862
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,4,cluster_deg_assort,mean_l1,0.05970621659383976
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,4,cluster_deg_assort,rmse,0.09001753070023777
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,4,cluster_global_ccoeff,emd,0.0011551327401250597
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,4,cluster_global_ccoeff,mean_l1,0.0024553958134599717
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,4,cluster_global_ccoeff,rmse,0.006567422525604115
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,4,cluster_local_ccoeff,emd,0.0026270165822846066
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,4,cluster_local_ccoeff,mean_l1,0.006419008719148325
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,4,cluster_local_ccoeff,rmse,0.010725416826790252
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,4,cluster_mean_degree,emd,0.0031482236102997867
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,4,cluster_mean_degree,mean_l1,0.003148223610299789
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,4,cluster_mean_degree,rmse,0.005715755571114045
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,4,cluster_mean_kcore,emd,0.015504966468755415
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,4,cluster_mean_kcore,mean_l1,0.017274481870524667
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,4,cluster_mean_kcore,rmse,0.025598970476026564
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,4,cluster_n_concomp,emd,0.0
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,4,cluster_n_concomp,mean_l1,0.0
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,4,cluster_n_concomp,rmse,0.0
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,4,cluster_frac_giant_ccomp,emd,0.0
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,4,cluster_frac_giant_ccomp,mean_l1,0.0
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,4,cluster_frac_giant_ccomp,rmse,0.0
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,4,cluster_pseudo_diameter,emd,3.772357723577236
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,4,cluster_pseudo_diameter,mean_l1,3.772357723577236
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,4,cluster_pseudo_diameter,rmse,4.282218861055999
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,5,cluster_deg_assort,emd,0.018430344267009888
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,5,cluster_deg_assort,mean_l1,0.05952302070124664
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,5,cluster_deg_assort,rmse,0.08972527524715682
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,5,cluster_global_ccoeff,emd,0.0011952004158727674
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,5,cluster_global_ccoeff,mean_l1,0.0023680514861513595
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,5,cluster_global_ccoeff,rmse,0.006843102430746661
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,5,cluster_local_ccoeff,emd,0.002606368968152201
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,5,cluster_local_ccoeff,mean_l1,0.006458677429073378
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,5,cluster_local_ccoeff,rmse,0.011025544963180482
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,5,cluster_mean_degree,emd,0.0029260521208586488
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,5,cluster_mean_degree,mean_l1,0.0029260521208586514
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,5,cluster_mean_degree,rmse,0.005524212155043853
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,5,cluster_mean_kcore,emd,0.015053161386293357
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,5,cluster_mean_kcore,mean_l1,0.017142159704815293
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,5,cluster_mean_kcore,rmse,0.02571152475878507
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,5,cluster_n_concomp,emd,0.0
ec-sbm-v2,leiden-cpm-0.0001,douban,154908,327162,5,cluster_n_concomp,mean_l1,0.0
