gen,clustering,net,n_nodes,n_edges,seed,stat,dist_type,value
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,frac_giant_ccomp,abs_diff,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,frac_giant_ccomp,rel_diff,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,deg_assort,abs_diff,-0.08078419902102532
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,deg_assort,rel_diff,0.30938185433828297
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,global_ccoeff,abs_diff,-0.005836468537220066
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,global_ccoeff,rel_diff,-1.2864542281274631
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,local_ccoeff,abs_diff,-0.011068485351423286
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,local_ccoeff,rel_diff,-2.218724498662365
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,node_coverage,abs_diff,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,node_coverage,rel_diff,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,n_nodes,abs_diff,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,n_nodes,rel_diff,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,n_edges,abs_diff,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,n_edges,rel_diff,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,n_concomp,abs_diff,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,n_concomp,rel_diff,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,mean_degree,abs_diff,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,mean_degree,rel_diff,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,mean_kcore,abs_diff,0.04179900327936581
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,mean_kcore,rel_diff,0.019079751889558436
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,n_clusters,abs_diff,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,n_clusters,rel_diff,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,n_outliers,abs_diff,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,n_disconnected_clusters,abs_diff,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,pseudo_diameter,abs_diff,-1.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,pseudo_diameter,rel_diff,-0.125
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,degree,emd,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,kcore,emd,0.08249412554548519
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,conductance,emd,0.003150353721992843
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,edge_density,emd,3.6383321960529276e-05
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,degree_density,emd,0.005620679352853683
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,mincut,emd,0.0
ec-sbm-v1,leiden-cpm-0.0001,douban,154908,327162,1,modularity,emd,1.0095443628707534e-05
