config,net,n_nodes,n_edges,bucket,stat,dist_type,value
cptg,sp_infectious,10972,44517,B0,frac_giant_ccomp,abs_diff,0.0
cptg,sp_infectious,10972,44517,B0,deg_assort,abs_diff,0.270008397540589
cptg,sp_infectious,10972,44517,B0,global_ccoeff,abs_diff,0.312517820267474
cptg,sp_infectious,10972,44517,B0,local_ccoeff,abs_diff,0.3154774568055374
cptg,sp_infectious,10972,44517,B0,node_coverage,abs_diff,0.0
cptg,sp_infectious,10972,44517,B0,n_nodes,rel_diff,0.0
cptg,sp_infectious,10972,44517,B0,n_edges,rel_diff,0.000836343679823275
cptg,sp_infectious,10972,44517,B0,n_concomp,rel_diff,0.0
cptg,sp_infectious,10972,44517,B0,mean_degree,rel_diff,0.0008363436798232122
cptg,sp_infectious,10972,44517,B0,mean_kcore,rel_diff,0.0676481872018412
cptg,sp_infectious,10972,44517,B0,n_clusters,rel_diff,0.0
cptg,sp_infectious,10972,44517,B0,pseudo_diameter,rel_diff,3.25
cptg,sp_infectious,10972,44517,B0,degree,emd,0.00678089682829002
cptg,sp_infectious,10972,44517,B0,kcore,emd,0.5760845789281809
cptg,sp_infectious,10972,44517,B0,conductance,emd,0.0
cptg,sp_infectious,10972,44517,B0,edge_density,emd,0.0017118458054802277
cptg,sp_infectious,10972,44517,B0,degree_density,emd,0.007703076074233615
cptg,sp_infectious,10972,44517,B0,mincut,emd,0.009210526315789535
cptg,sp_infectious,10972,44517,B0,modularity,emd,4.803874532009937e-06
cptg,sp_infectious,10972,44517,B0,mixing_parameter,emd,0.0
cptg,sp_infectious,10972,44517,B0,concomp_sizes,emd,0.0
cptg,sp_infectious,10972,44517,B0,local_ccoeff_nodes,emd,0.3154774568055374
cptg,sp_infectious,10972,44517,B0,pagerank,emd,9.040112649815548e-06
cptg,sp_infectious,10972,44517,B0,cluster_deg_assort,rmse,0.24983742091636543
cptg,sp_infectious,10972,44517,B0,cluster_global_ccoeff,rmse,0.20584935860178688
cptg,sp_infectious,10972,44517,B0,cluster_local_ccoeff,rmse,0.20574237683091048
cptg,sp_infectious,10972,44517,B0,cluster_mean_degree,rmse,0.06026915207804335
cptg,sp_infectious,10972,44517,B0,cluster_mean_kcore,rmse,0.3327155429490453
cptg,sp_infectious,10972,44517,B0,cluster_n_concomp,mean_l1,0.0
