source,target
10,828
100,767
101,219
102,727
103,711
103,568
103,400
103,335
103,274
103,221
103,727
103,485
103,416
103,230
103,581
103,882
103,786
103,692
103,810
103,474
103,897
103,255
103,185
10,105
106,452
106,633
106,240
106,555
106,566
106,289
106,828
106,727
106,572
106,786
106,696
106,225
106,581
106,366
106,376
106,145
106,763
106,221
106,381
106,817
106,339
106,490
106,505
106,107
106,637
106,603
106,434
106,401
106,68
106,549
106,479
106,627
106,673
106,432
106,855
106,571
106,415
106,50
106,388
106,700
106,704
106,530
106,573
106,349
106,585
106,246
106,558
106,785
106,616
106,693
106,336
106,305
106,253
106,553
106,714
106,368
106,398
106,416
106,663
106,20
106,153
106,774
106,767
106,896
106,400
106,681
107,381
107,817
107,633
107,452
108,828
109,727
11,754
115,487
117,501
117,786
117,225
117,882
117,692
117,727
117,810
117,230
117,663
117,830
117,457
117,496
118,568
118,448
118,171
119,828
119,851
119,778
121,568
121,708
121,335
121,79
121,417
122,667
122,186
10,124
125,727
125,647
125,849
125,176
125,219
126,605
126,219
126,667
126,335
126,568
126,711
126,400
126,67
126,536
126,267
126,721
126,397
127,727
128,452
129,891
129,151
129,488
129,39
129,391
106,129
129,640
129,656
129,697
129,666
129,196
129,130
129,836
129,828
129,219
129,312
129,871
129,274
129,555
129,452
129,145
129,376
129,628
129,29
129,777
129,160
129,708
129,561
129,79
129,131
129,335
129,400
129,381
129,562
129,767
129,786
129,581
129,501
129,202
129,696
129,48
129,185
129,604
129,870
129,823
129,368
129,730
129,315
129,420
129,5
129,894
129,260
129,663
129,267
129,416
129,230
129,535
129,517
13,86
13,457
13,751
13,875
13,130
13,697
13,14
13,828
13,727
13,679
13,274
13,555
13,240
13,871
13,195
13,366
13,160
13,145
13,763
13,522
13,400
13,561
13,335
13,568
13,161
13,817
13,562
13,381
13,55
13,810
13,725
13,225
13,501
13,202
13,786
13,696
13,420
13,823
13,48
13,441
13,437
13,315
13,799
13,317
13,217
13,5
13,663
13,485
13,830
13,894
13,416
13,72
130,457
130,646
130,452
130,871
130,555
130,727
130,341
130,722
130,828
130,501
130,882
130,786
130,202
130,581
130,522
130,628
130,160
130,195
130,376
130,366
130,145
130,221
130,562
130,381
130,57
130,704
130,285
130,700
130,349
130,693
130,781
130,415
130,432
130,68
130,336
130,858
130,603
130,888
130,861
130,428
130,96
130,571
130,339
130,388
130,616
130,558
130,549
130,785
130,246
130,573
130,694
130,436
130,133
130,27
130,613
130,398
130,663
130,532
130,511
130,810
130,725
130,745
130,896
130,322
131,891
131,488
131,457
131,6
131,340
131,219
131,304
131,727
131,767
131,810
131,725
131,537
131,663
131,830
131,416
131,817
131,381
131,555
131,871
131,274
131,882
131,202
131,696
131,786
131,581
131,832
131,265
132,828
132,79
132,216
133,221
133,452
133,555
133,274
133,219
133,181
133,513
136,290
139,723
139,708
139,711
139,266
139,634
14,555
14,633
14,727
14,844
14,723
14,722
14,882
14,225
14,501
14,581
14,692
14,376
14,29
14,160
14,145
14,628
14,522
14,817
14,381
14,221
14,781
14,305
14,166
14,571
14,83
14,68
14,603
14,585
14,336
14,694
14,855
14,888
14,479
14,388
